Index;Hann;Hamming;Blackman;Lanczos;Gaussian;Poisson;Parzen;Welch;Nutall;Blackman-Nutall;Blackman-Harris;Hann-Poisson;Bartlett-Hann;Bartlett-Fejer;Exponential;Triangular;Rectangular;Flat top;Cosine;
677;0.76318;0.78212;0.64751;0.83647;0.72097;0.00000;0.57768;0.89531;0.53545;0.54956;0.54114;0.39956;0.74236;0.67644;0.72380;0.67676;1.00000;0.22378;0.87360;
678;0.76056;0.77972;0.64401;0.83459;0.71812;0.00000;0.57378;0.89404;0.53130;0.54548;0.53702;0.39664;0.73990;0.67449;0.72239;0.67480;1.00000;0.21854;0.87210;
679;0.75794;0.77730;0.64052;0.83271;0.71526;0.00000;0.56988;0.89276;0.52715;0.54141;0.53290;0.39373;0.73744;0.67253;0.72098;0.67285;1.00000;0.21335;0.87060;
680;0.75530;0.77488;0.63701;0.83081;0.71239;0.00000;0.56597;0.89148;0.52301;0.53735;0.52879;0.39083;0.73497;0.67058;0.71957;0.67090;1.00000;0.20820;0.86908;
681;0.75265;0.77244;0.63351;0.82891;0.70952;0.00000;0.56207;0.89019;0.51888;0.53329;0.52468;0.38794;0.73249;0.66862;0.71817;0.66895;1.00000;0.20309;0.86756;
682;0.75000;0.77000;0.63000;0.82699;0.70665;0.00000;0.55816;0.88889;0.51475;0.52923;0.52057;0.38506;0.73000;0.66667;0.71676;0.66699;1.00000;0.19802;0.86603;
683;0.74734;0.76755;0.62649;0.82507;0.70377;0.00000;0.55425;0.88758;0.51062;0.52518;0.51648;0.38220;0.72751;0.66471;0.71537;0.66504;1.00000;0.19299;0.86449;
684;0.74466;0.76509;0.62297;0.82314;0.70088;0.00000;0.55035;0.88627;0.50650;0.52113;0.51239;0.37934;0.72500;0.66276;0.71397;0.66309;1.00000;0.18801;0.86294;
685;0.74198;0.76262;0.61945;0.82120;0.69799;0.00000;0.54644;0.88494;0.50239;0.51709;0.50830;0.37650;0.72250;0.66080;0.71258;0.66113;1.00000;0.18308;0.86138;
686;0.73929;0.76014;0.61593;0.81925;0.69510;0.00000;0.54254;0.88361;0.49829;0.51305;0.50422;0.37367;0.71998;0.65885;0.71119;0.65918;1.00000;0.17819;0.85982;
687;0.73659;0.75766;0.61241;0.81730;0.69220;0.00000;0.53863;0.88228;0.49419;0.50902;0.50015;0.37085;0.71746;0.65689;0.70980;0.65723;1.00000;0.17334;0.85825;
688;0.73388;0.75517;0.60888;0.81533;0.68929;0.00000;0.53473;0.88093;0.49010;0.50499;0.49608;0.36805;0.71493;0.65494;0.70841;0.65527;1.00000;0.16854;0.85667;
689;0.73116;0.75267;0.60536;0.81336;0.68638;0.00000;0.53083;0.87958;0.48602;0.50098;0.49202;0.36525;0.71240;0.65298;0.70703;0.65332;1.00000;0.16378;0.85508;
690;0.72843;0.75016;0.60183;0.81138;0.68347;0.00000;0.52693;0.87822;0.48195;0.49697;0.48797;0.36247;0.70985;0.65103;0.70565;0.65137;1.00000;0.15907;0.85348;
691;0.72569;0.74764;0.59829;0.80939;0.68056;0.00000;0.52303;0.87685;0.47789;0.49296;0.48393;0.35970;0.70730;0.64907;0.70428;0.64941;1.00000;0.15441;0.85188;
692;0.72295;0.74511;0.59476;0.80739;0.67764;0.00000;0.51913;0.87547;0.47383;0.48897;0.47990;0.35694;0.70475;0.64712;0.70290;0.64746;1.00000;0.14980;0.85026;
693;0.72020;0.74258;0.59123;0.80538;0.67471;0.00000;0.51524;0.87409;0.46978;0.48498;0.47587;0.35419;0.70219;0.64516;0.70153;0.64551;1.00000;0.14523;0.84864;
694;0.71744;0.74004;0.58769;0.80337;0.67178;0.00000;0.51135;0.87270;0.46575;0.48100;0.47185;0.35146;0.69962;0.64321;0.70016;0.64355;1.00000;0.14071;0.84702;
695;0.71467;0.73749;0.58416;0.80134;0.66885;0.00000;0.50746;0.87130;0.46172;0.47702;0.46785;0.34874;0.69705;0.64125;0.69879;0.64160;1.00000;0.13623;0.84538;
696;0.71189;0.73494;0.58062;0.79931;0.66592;0.00000;0.50358;0.86989;0.45770;0.47306;0.46385;0.34603;0.69447;0.63930;0.69743;0.63965;1.00000;0.13181;0.84374;
697;0.70910;0.73238;0.57709;0.79727;0.66298;0.00000;0.49970;0.86848;0.45369;0.46910;0.45986;0.34333;0.69188;0.63734;0.69607;0.63770;1.00000;0.12743;0.84208;
698;0.70631;0.72981;0.57355;0.79522;0.66004;0.00000;0.49582;0.86706;0.44970;0.46516;0.45588;0.34064;0.68929;0.63539;0.69471;0.63574;1.00000;0.12311;0.84042;
699;0.70351;0.72723;0.57001;0.79317;0.65710;0.00000;0.49195;0.86563;0.44571;0.46122;0.45191;0.33796;0.68669;0.63343;0.69336;0.63379;1.00000;0.11883;0.83875;
700;0.70070;0.72464;0.56648;0.79110;0.65416;0.00000;0.48808;0.86419;0.44174;0.45730;0.44795;0.33530;0.68409;0.63148;0.69200;0.63184;1.00000;0.11460;0.83708;
701;0.69788;0.72205;0.56294;0.78903;0.65121;0.00000;0.48422;0.86275;0.43777;0.45338;0.44400;0.33265;0.68148;0.62952;0.69065;0.62988;1.00000;0.11042;0.83539;
702;0.69506;0.71945;0.55941;0.78695;0.64826;0.00000;0.48036;0.86129;0.43382;0.44947;0.44007;0.33001;0.67886;0.62757;0.68931;0.62793;1.00000;0.10629;0.83370;
703;0.69223;0.71685;0.55588;0.78487;0.64531;0.00000;0.47650;0.85983;0.42988;0.44558;0.43614;0.32739;0.67624;0.62561;0.68796;0.62598;1.00000;0.10220;0.83200;
704;0.68939;0.71424;0.55235;0.78277;0.64236;0.00000;0.47266;0.85837;0.42596;0.44169;0.43223;0.32477;0.67361;0.62366;0.68662;0.62402;1.00000;0.09817;0.83029;
705;0.68654;0.71162;0.54881;0.78067;0.63940;0.00000;0.46881;0.85689;0.42204;0.43782;0.42833;0.32217;0.67098;0.62170;0.68528;0.62207;1.00000;0.09419;0.82858;
706;0.68369;0.70900;0.54529;0.77856;0.63645;0.00000;0.46498;0.85541;0.41814;0.43395;0.42444;0.31958;0.66834;0.61975;0.68394;0.62012;1.00000;0.09026;0.82686;
707;0.68083;0.70636;0.54176;0.77644;0.63349;0.00000;0.46115;0.85392;0.41425;0.43010;0.42056;0.31700;0.66570;0.61779;0.68261;0.61816;1.00000;0.08638;0.82513;
708;0.67796;0.70373;0.53823;0.77432;0.63053;0.00000;0.45732;0.85242;0.41037;0.42626;0.41670;0.31443;0.66305;0.61584;0.68128;0.61621;1.00000;0.08255;0.82339;
709;0.67509;0.70108;0.53471;0.77218;0.62757;0.00000;0.45351;0.85091;0.40651;0.42244;0.41285;0.31188;0.66040;0.61388;0.67995;0.61426;1.00000;0.07877;0.82164;
710;0.67221;0.69843;0.53119;0.77004;0.62461;0.00000;0.44970;0.84940;0.40266;0.41862;0.40901;0.30934;0.65774;0.61193;0.67862;0.61230;1.00000;0.07504;0.81989;
711;0.66933;0.69578;0.52768;0.76790;0.62165;0.00000;0.44590;0.84788;0.39883;0.41482;0.40518;0.30680;0.65508;0.60997;0.67729;0.61035;1.00000;0.07136;0.81812;
712;0.66643;0.69312;0.52416;0.76574;0.61868;0.00000;0.44210;0.84635;0.39501;0.41103;0.40137;0.30429;0.65241;0.60802;0.67597;0.60840;1.00000;0.06773;0.81635;
713;0.66353;0.69045;0.52065;0.76358;0.61572;0.00000;0.43831;0.84481;0.39120;0.40725;0.39757;0.30178;0.64974;0.60606;0.67465;0.60645;1.00000;0.06416;0.81458;
714;0.66063;0.68778;0.51714;0.76141;0.61276;0.00000;0.43453;0.84327;0.38741;0.40349;0.39379;0.29929;0.64706;0.60411;0.67334;0.60449;1.00000;0.06063;0.81279;
715;0.65772;0.68510;0.51364;0.75923;0.60979;0.00000;0.43076;0.84172;0.38363;0.39974;0.39002;0.29681;0.64438;0.60215;0.67202;0.60254;1.00000;0.05716;0.81100;
716;0.65480;0.68242;0.51014;0.75705;0.60683;0.00000;0.42700;0.84016;0.37987;0.39600;0.38627;0.29434;0.64170;0.60020;0.67071;0.60059;1.00000;0.05373;0.80920;
717;0.65188;0.67973;0.50664;0.75485;0.60386;0.00000;0.42325;0.83859;0.37613;0.39228;0.38253;0.29188;0.63900;0.59824;0.66940;0.59863;1.00000;0.05036;0.80739;
718;0.64895;0.67703;0.50315;0.75266;0.60090;0.00000;0.41951;0.83701;0.37240;0.38857;0.37880;0.28943;0.63631;0.59629;0.66810;0.59668;1.00000;0.04704;0.80557;
719;0.64601;0.67433;0.49966;0.75045;0.59793;0.00000;0.41577;0.83543;0.36868;0.38487;0.37509;0.28700;0.63361;0.59433;0.66679;0.59473;1.00000;0.04377;0.80375;
720;0.64307;0.67163;0.49618;0.74824;0.59497;0.00000;0.41205;0.83384;0.36499;0.38119;0.37140;0.28458;0.63091;0.59238;0.66549;0.59277;1.00000;0.04055;0.80192;
721;0.64013;0.66892;0.49270;0.74602;0.59201;0.00000;0.40833;0.83224;0.36130;0.37753;0.36772;0.28217;0.62820;0.59042;0.66419;0.59082;1.00000;0.03738;0.80008;
722;0.63718;0.66620;0.48922;0.74379;0.58905;0.00000;0.40463;0.83064;0.35764;0.37388;0.36406;0.27977;0.62549;0.58847;0.66290;0.58887;1.00000;0.03426;0.79823;
723;0.63422;0.66349;0.48575;0.74156;0.58608;0.00000;0.40094;0.82903;0.35399;0.37024;0.36041;0.27739;0.62277;0.58651;0.66161;0.58691;1.00000;0.03119;0.79638;
724;0.63126;0.66076;0.48229;0.73932;0.58312;0.00000;0.39725;0.82741;0.35036;0.36662;0.35678;0.27502;0.62005;0.58456;0.66031;0.58496;1.00000;0.02817;0.79452;
725;0.62830;0.65803;0.47883;0.73707;0.58016;0.00000;0.39358;0.82578;0.34674;0.36302;0.35316;0.27266;0.61733;0.58260;0.65903;0.58301;1.00000;0.02521;0.79265;
726;0.62533;0.65530;0.47538;0.73482;0.57721;0.00000;0.38992;0.82414;0.34314;0.35943;0.34957;0.27031;0.61460;0.58065;0.65774;0.58105;1.00000;0.02229;0.79078;
727;0.62235;0.65256;0.47193;0.73256;0.57425;0.00000;0.38627;0.82250;0.33956;0.35586;0.34599;0.26797;0.61187;0.57869;0.65646;0.57910;1.00000;0.01943;0.78889;
728;0.61937;0.64982;0.46849;0.73029;0.57129;0.00000;0.38264;0.82085;0.33600;0.35230;0.34242;0.26565;0.60914;0.57674;0.65518;0.57715;1.00000;0.01661;0.78700;
729;0.61639;0.64708;0.46506;0.72801;0.56834;0.00000;0.37901;0.81919;0.33245;0.34876;0.33887;0.26334;0.60640;0.57478;0.65390;0.57520;1.00000;0.01385;0.78510;
730;0.61340;0.64433;0.46163;0.72573;0.56539;0.00000;0.37540;0.81752;0.32893;0.34523;0.33534;0.26104;0.60366;0.57283;0.65262;0.57324;1.00000;0.01113;0.78320;
731;0.61040;0.64157;0.45821;0.72345;0.56244;0.00000;0.37180;0.81585;0.32542;0.34173;0.33183;0.25875;0.60092;0.57087;0.65135;0.57129;1.00000;0.00847;0.78128;
732;0.60741;0.63882;0.45479;0.72115;0.55949;0.00000;0.36821;0.81417;0.32192;0.33824;0.32834;0.25647;0.59817;0.56891;0.65008;0.56934;1.00000;0.00585;0.77936;
733;0.60441;0.63605;0.45138;0.71885;0.55654;0.00000;0.36464;0.81248;0.31845;0.33476;0.32486;0.25421;0.59542;0.56696;0.64881;0.56738;1.00000;0.00329;0.77744;
